Name,Address,Rating,Enrollment,Grade span
Alternative Educational Services School,"1080 S CYPRESS ST STE F, La Habra",-,12,Ungraded
Alturas Mennonite School,"38691 HWY 299, Alturas",-,15,1-9
Alverno High School,"200 N MICHILLINDA AVE, Sierra Madre",-,180,9-12
Ambassador High School,"540 MAPLE AVE, Torrance",-,67,9-12
American Advanced Academy School,"1430 PALM DRIVE, Burlingame",-,43,KG-12
American Christian Military Academy School,"9229 UTICA AVE STE 130, Rancho Cucamonga",-,25,2-12
American Montessori Academy School,"1050 DOUGLAS BLVD, Roseville",-,127,PK-1
American Montessori Pre & Elementary School,"4475 EAGLE ROCK BLVD, Los Angeles",-,30,PK-3
Amerimont Academy School,"160 S OLD SPRINGS RD STE 150, Anaheim",-,24,KG-2
Ananda Living Wisdom School,"14618 TYLER FOOTE RD, Nevada City",-,53,KG-12
Angel's Montessori Pre School,"150 N GARFIELD AVE, Alhambra",-,33,PK-KG
Angela Pre & Kindergarten School,"100 E LIVE OAK AVE, Arcadia",-,91,PK-KG
Angela Pre Kindergarten School,"5708 N MUSCATEL AVE, San Gabriel",-,92,PK-KG
Angela's Workshop School,"9713 VENICE BLVD, Los Angeles",-,17,6-12
Angels Montessori Pre School,"1566 BAILEY RD, Concord",-,40,PK-1
Anne Sullivan Pre & Kindergarten School,"21776 PALOMAR ST, Wildomar",-,120,PK-KG
Annunciation Elementary School,"1110 N LINCOLN ST, Stockton",-,278,KG-8
Anova Center For Education San Rafael School,"150 LOVELL AVE, San Rafael",-,42,2-11
Anova Center For Education Sonoma County School,"50 MARK WEST SPRINGS RD #101, Santa Rosa",-,88,KG-12
"Anova Center For Education, Concord School","3333 RONALD WAY, Concord",-,60,1-12
Antelope Christian Academy School,"4533 ANTELOPE RD, Antelope",-,120,PK-8
Apex Academy School,"1309 N. Wilton Pl. 3rd Fl., Los Angeles",6,436,07-12
Apostles Lutheran School,"5828 SANTA TERESA BLVD, San Jose",-,209,KG-12
Apostolic Christian Academy School,"2222 LEVER BLVD, Stockton",-,11,1-12
Apple Valley Christian School,"22230 OTTAWA RD, Apple Valley",-,241,PK-12
Appleseed Almaden Montessori School,"5200 DENT AVE, San Jose",-,168,PK-KG
Appleseed Montessori - Warner School,"1302 WARNER AVE, Sunnyvale",-,96,PK-KG
Appletree Montessori School,"25542 JERONIMO RD, Mission Viejo",-,69,PK-KG
Applied Lastics Academy- East Bay School,"2050 LINCOLN AVE, Alameda",-,3,5-6
Applied Lastics Online Academy School,"15020 BURWOOD DRIVE, Lake Mathews",-,200,KG-12
Aquinas High School,"2772 STERLING AVE, San Bernardino",-,423,9-12
Arbor Bay School,"1017 CEDAR ST, San Carlos",-,45,KG-8
Arbor Christian School,"23302 EL TORO RD, Lake Forest",-,42,PK-KG
Arcadia Children's Educational Center School,"9845 E LEMON AVE, Arcadia",-,18,PK-KG
Arcadia Christian School,"1900 S SANTA ANITA AVE, Arcadia",-,218,PK-8
Arcadia College Preparatory School,"145 E DUARTE RD UNIT 801, Arcadia",-,10,9-12
Arcadia Montessori School,"1406 S SANTA ANITA AVE, Arcadia",-,22,PK-KG
Arcata Christian School,"1700 UNION ST, Arcata",-,46,KG-8
Archbishop Hanna High School,"17000 ARNOLD DR, Sonoma",-,107,8-12
Archbishop Riordan High School,"175 PHELAN AVE, San Francisco",-,691,9-12
Archer For Girls School,"11725 W SUNSET BLVD, Los Angeles",-,487,6-12
Arete Preparatory Academy School,"11500 W OLYMPIC BLVD STE 318, Los Angeles",-,54,9-12
Ari Guiragos Minassian Armenian School,"5315 W MCFADDEN AVE, Santa Ana",-,109,PK-6
