Name,Address,Rating,Enrollment,Grade span
Dr. Lewis Dolphin Stallworth Sr. Charter School,"1610 E. Main St., Stockton",6,230,KG-08
Dr. Martin Luther King Junior Academy School,"925 N. Sanborn Rd., Salinas",12,568,KG-06
Dr. Maya Angelou Community High School,"300 E. 53rd St., Los Angeles",14,"1,116",09-12
Dr. Mildred Dalton Henry Elementary School,"1250 W. 14th St., San Bernardino",35,405,04-06
Dr. Owen Lloyd Knox Elementary School,"8919 S. Main St., Los Angeles",11,875,KG-06
Dr. Peter Marshall School,"2627 Crescent Ave., Anaheim",63,678,KG-06
Dr. Reynaldo J. Carreon Junior Academy School,"47-368 Monroe St., Indio",55,672,KG-05
Dr. Sammy Lee Medical And Health Science Magnet Elementary School,"3600 W. Council St., Los Angeles",63,578,KG-05
Dr. Tj Owens Gilroy Early College Academy School,"5055 Santa Teresa Blvd. PB17, Gilroy",99,255,09-12
Dr. Theodore T. Alexander Junior Science Center School,"3737 S. Figueroa St., Los Angeles",24,655,KG-05
Dr. Walter C. Ralston Intermediate School,"10851 E. Lampson Ave., Garden Grove",75,642,07-08
Drew (Charles) College Preparatory Academy School,"50 Pomona Ave., San Francisco",6,208,KG-05
Driffill Elementary School,"910 S. E St., Oxnard",7,"1,182",KG-08
Dry Creek Elementary School,"1273 N. Armstrong Ave., Clovis",94,820,KG-06
Dry Creek Elementary School,"1230 G St., Rio Linda",34,437,KG-04
Dual Language Academy Of The Monterey Peninsula School,"225 Normandy Rd., Seaside",43,416,KG-08
Duarte High School,"1565 E. Central Ave., Duarte",49,944,09-12
Dublin Elementary School,"7997 Vomac Rd., Dublin",94,811,KG-05
Dublin High School,"8151 Village Pkwy., Dublin",92,"2,273",09-12
Ducor Union Elementary School,"23761 Ave. 56, Ducor",12,158,KG-08
Dunbar Elementary School,"11700 Dunbar Rd., Glen Ellen",20,229,KG-05
Duncan-Russell Continuation School,"164 W. Grantline Rd., Tracy",-,21,10-12
Dunham Charter School,"4111 Roblar Rd., Petaluma",72,185,KG-06
Dunham Elementary School,"4111 Roblar Rd., Petaluma",-,9,KG-06
Dunlap Elementary School,"39667 Dunlap Rd., Dunlap",37,384,KG-08
Dunlap Elementary School,"32870 Ave. E, Yucaipa",33,408,KG-05
Dunlap Leadership Academy School,"39500 Dunlap Rd., Dunlap",62,79,09-12
Dunn Elementary School,"830 N. Lilac Ave., Rialto",11,665,KG-05
Dunsmore Elementary School,"4717 Dunsmore Ave., La Crescenta-Montrose",86,457,KG-06
Dunsmuir Elementary School,"4760 Siskiyou Ave., Dunsmuir",20,89,KG-08
Dunsmuir High School,"5805 High Sch Way, Dunsmuir",48,67,09-12
Dunsmuir Joint Union High Community Day School,"5805 High Sch Way, Dunsmuir",-,-1,09-12
Durfee Elementary School,"12233 Star St., El Monte",55,"1,014",KG-08
Durfee Elementary School,"4220 S. Durfee Ave., Pico Rivera",23,415,KG-05
Durham Elementary School,"9421 Putney Dr., Durham",57,438,KG-05
Durham High School,"9455 Putney Dr., Durham",64,287,09-12
Durham Intermediate School,"9416 Putney Dr., Durham",64,258,06-08
Duveneck Elementary School,"705 Alester Ave., Palo Alto",96,479,KG-05
Dwight D. Eisenhower Elementary School,"3355 Mountain Gate Dr., Corona",85,886,KG-06
Dwight D. Eisenhower Elementary School,"13221 Lilly St., Garden Grove",22,778,KG-06
Dwight D. Eisenhower Elementary School,"277 Rodonovan Dr., Santa Clara",97,668,KG-05
Dwight Eisenhower Elementary School,"83-391 Dillon Ave., Indio",19,472,KG-05
Dyer Street Elementary School,"14500 Dyer St., Los Angeles",48,724,KG-05
Dyer-Kelly Elementary School,"2236 Edison Ave., Sacramento",1,433,KG-05
E. A. Hall Middle School,"201 Brewington Ave., Watsonville",11,664,06-08
E. G. Garrison Elementary School,"333 Garrison Dr., Oceanside",26,405,KG-05
E. Hale Curran Elementary School,"40855 Chaco Canyon Rd., Murrieta",66,541,KG-05
E. J. Marshall Elementary School,"12045 Telephone Ave., Chino",46,460,KG-06
E. L. Musick Elementary School,"5735 Musick Ave., Newark",40,299,KG-06
E. Los Angeles Renaiss Academy At Esteban E. Torres High #2 School,"4211 Dozier St., Los Angeles",38,402,09-12
E. M. Grimmer Elementary School,"43030 Newport Dr., Fremont",67,472,KG-06
E. Neal Roberts Elementary School,"494 E. Ninth St., San Bernardino",22,504,KG-06
E. O. Green Junior High School,"3739 S. C St., Oxnard",21,"1,176",06-08
E. P. Foster Elementary School,"20 Pleasant Pl., Ventura",49,429,KG-05
E. Ruth Sheldon Academy Of Innovative Learning School,"1901 Woolner Ave., Fairfield",7,649,KG-08
Early Beginnings School,"2009 RISDON RD, Concord",-,8,PK-KG
East Bay For Boys School,"2340 DURANT AVE, Berkeley",-,100,6-8
East Bay Waldorf School,"3800 CLARK RD, El Sobrante",-,160,PK-8
East Beverly High School,"672 S LAFAYETTE PARK PL SUITE 15, Los Angeles",-,90,9-12
East Valley Christian School,"2715 S WHITE RD, San Jose",-,215,KG-12
Eastern Sierra Christian Academy School,"384 S LANDING RD, Crowley Lake",-,25,KG-9
Eastlake Church Children Center School,"2351 OTAY LAKES RD, Chula Vista",-,252,PK-KG
Eastside College Preparatory School,"1041 MYRTLE ST, East Palo Alto",-,336,6-12
Echo Ridge Christian School,"15504 LIBERTY CIR, Nevada City",-,25,KG-8
Ecole Notre Dame Des Victoires School,"659 PINE ST, San Francisco",-,301,KG-8
Edgewood Center For Children & Families School,"1801 VICENTE ST, San Francisco",-,44,1-12
Edgewood Preprimary Academy School,"1091 BRYAN AVE, Tustin",-,62,PK-KG
Edison Academy School,"910 ENCINITAS BLVD, Encinitas",-,35,3-8
Edison Montessori School,"750 DARTMOUTH AVE, San Carlos",-,94,PK
Educare Pre School,"4300 BELLFLOWER BLVD, Lakewood",-,40,PK-KG
Educare Pre & Kindergarten School,"5730 SOUTH ST, Lakewood",-,42,PK-KG
Eduhsd Community Day School,"385 Pleasant Valley Rd., Diamond Springs",-,9,9-12
Eduhsd Virtual Academy At Shenandoah School,"6540 Koki Ln., El Dorado Hills",79,91,09-12
Egremont School,"19850 DEVONSHIRE ST, Los Angeles",-,122,PK-5
Eje Elementary Academy Charter School,"851 S. Johnson Ave., El Cajon",52,525,KG-05
Eje Middle Academy School,"851 S. Johnson Ave., El Cajon",67,182,06-08
El Cajon Seventh-Day Adventist Christian School,"1640 E MADISON AVE, El Cajon",-,34,KG-8
El Montecito San Roque School,"3225 CALLE PINON, Santa Barbara",-,99,PK-6
El Rancho School,"5636 EL CAMINO AVE, Carmichael",-,154,PK-7
El Shaddai Academy School,"716 N VENTURA RD, Oxnard",-,12,1-10
El Sobrante Christian School,"5100 ARGYLE RD, El Sobrante",-,261,KG-12
Eldorado Emerson Private School,"4100 E WALNUT AVE, Orange",-,163,PK-12
Elk Grove Montessori School,"8842 WILLIAMSON DR, Elk Grove",-,115,PK-KG
Elliott Institute School,"2506 FOOTHILL BLVD, La Crescenta-Montrose",-,19,1-12
Elmhurst Learning Center School,"380 ELMHURST ST, Hayward",-,18,PK-KG
Emek Hebrew Academy Teichman Family Torah Center School,"15365 MAGNOLIA BLVD, Los Angeles",-,731,PK-8
Emerson Academy School,"12749 VENTURA BLVD, Los Angeles",-,16,6-12
Emerson School,"2800 W BAYSHORE RD, Palo Alto",-,15,1-5
Emmaus Lutheran School,"840 S ALMANSOR ST, Alhambra",-,166,PK-8
Encino Presbyterian Childrens Center School,"4963 BALBOA BLVD, Los Angeles",-,99,PK-KG
Epic De Cesar Chavez School,"410 W. J St. Ste. A, Tehachapi",20,281,09-12
Epiphany Catholic School,"10915 MICHAEL HUNT DR, South El Monte",-,158,PK-8
Epiphany School,"600 ITALY AVE, San Francisco",-,400,KG-8
Escalade Academy School,"23832 ROCKFIELD BLVD STE 180, Lake Forest",-,5,2-12
Escondido Adventist Academy School,"1301 DEODAR RD, Escondido",-,207,KG-12
Escondido Christian School,"923 IDAHO AVE, Escondido",-,402,PK-10
Escuela Bilingue Internacional School,"410 ALCATRAZ AVE, Oakland",-,374,PK-8
Escuela De La Raza Unida School,"137 N. BROADWAY, Blythe",-,1,10
Escuela Plus Elementary School,"4196 MARLTON AVE, Los Angeles",-,20,KG-5
Esther B Clark -Childrens Health Council School,"650 CLARK WAY, Palo Alto",-,82,2-10
Esther's Nest Children's School,"315 N NEW AVE, Monterey Park",-,54,PK-KG
Eureka Of Santa Barbara School,"3324 STATE ST STE M, Santa Barbara",-,1,11
Ev Cain 21st Century Stem Charter School,"150 Palm Ave., Auburn",52,664,06-08
Excellence In Education Academy School,"2640 S MYRTLE AVE, Monrovia",-,208,1-12
Excelsior Academy School,"7202 PRINCESS VIEW DR, San Diego",-,56,3-12
Excelsior School,"1539 E HOWARD ST, Pasadena",-,103,8-12
Excelsius Academy School,"17006 MAGNOLIA ST, Fountain Valley",-,193,1-12
Eagle Canyon Elementary School,"13435 Eagle Canyon Dr., Chino Hills",84,567,KG-06
Eagle Canyon High School,"950 Old Co Rd., Templeton",-,9,09-12
Eagle Creek School,"322 N. Washington St., Cloverdale",-,7,09-10
Eagle Mountain Elementary School,"1434 Kaiser Rd., Desert Center",-,24,KG-08
Eagle Peak Middle School,"8601 W. Rd., Redwood Valley",19,460,05-08
Eagle Peak Montessori School,"800 Hutchinson Rd., Walnut Creek",79,248,01-08
Eagle Prairie Elementary School,"95 Center St., Rio Dell",9,219,KG-05
Eagle Ranch Elementary School,"12545 Eagle Ranch Pkwy., Adelanto",9,808,KG-05
Eagle Rock Elementary School,"2057 Fair Park Ave., Los Angeles",77,782,KG-06
Eagle Rock High School,"1750 Yosemite Dr., Los Angeles",66,"2,377",07-12
Eagle Summit Community Day School,"3919 Nielson Rd., Phelan",-,37,07-12
Eagle Tree Continuation School,"22628 S. Main St., Carson",29,55,09-12
Earl E. Edmondson Elementary School,"15121 S. Grayland Ave., Norwalk",31,490,KG-05
Earl F. Johnson High (Continuation) School,"1201 N. Douty, Hanford",17,116,09-12
Earl Legette Elementary School,"4623 Kenneth Ave., Fair Oaks",56,585,KG-06
Earl Warren Elementary School,"12871 Estock Dr., Garden Grove",51,505,KG-06
Earl Warren Elementary School,"41221 Rosetta Canyon Rd., Lake Elsinore",42,936,KG-05
Earl Warren Elementary School,"5420 Lowell St., Sacramento",36,489,KG-06
Earl Warren Junior High School,"4615 Mountain Vista Dr., Bakersfield",75,846,07-08
Earl Warren Middle School,"155 Stevens St., Solana Beach",97,595,07-08
Earle E. Williams Middle School,"1600 Tennis Ln., Tracy",37,"1,081",06-08
Earle Jamieson Educational Options School,"12338 McCt.ney Rd., Grass Valley",-,8,07-12
Earlimart Community Day School,"599 E. Sutter Ave., Earlimart",-,6,04-08
Earlimart Elementary School,"192 S. Church Rd., Earlimart",18,700,KG-05
Earlimart Middle School,"599 S. Sutter St., Earlimart",16,639,06-08
Early Childhood Education School,"808 W. Ave. J, Lancaster",-,-,PK
Early Childhood Learning Center School,"1 Smoketree, Irvine",-,-,PK
Early College Academy-La Trade Tech College School,"400 W. Washington Blvd., Los Angeles",19,182,09-12
Early College High School,"2990 Mesa Verde Dr., Costa Mesa",93,260,09-12
Early Learning Program School,"9515 Haney St., Pico Rivera",-,-,PK
East Avenue Elementary School,"2424 E. Ave., Hayward",20,619,KG-06
East Avenue Middle School,"3951 E. Ave., Livermore",73,621,06-08
East Bakersfield High School,"2200 Quincy St., Bakersfield",32,"2,217",09-12
East Bay Arts High School,"20450 Royal Ave., Hayward",25,192,09-12
East Bay Innovation Academy School,"3400 Malcolm Ave., Oakland",72,344,06-12
East Bay Regional Occupation Center/Agency (Roc/P) School,"1900 Third St. Rm. 23, Alameda",-,-1,-
East County Elementary Special Education School,"4207 Delta Fair Blvd., Antioch",-,47,KG-12
East Heritage Elementary School,"14250 E. Constitution Way, Fontana",65,564,KG-05
East High (Continuation) School,"392 16th St., Fortuna",19,82,10-12
East Hills Academy School,"1791 Rock Mountain Rd., Chula Vista",-,90,07-12
East Lake School,"13050 High Valley Rd., Clearlake Oaks",9,105,KG-07
East Los Angeles County Community School,"1260 S. Monterey Pass Rd., Monterey Park",51,106,07-12
East Nicolaus High School,"2454 Nicolaus Ave., Nicolaus",63,284,09-12
East Oakland Leadership Academy School,"2614 Seminary Ave., Oakland",18,112,KG-08
East Oakland Pride Elementary School,"8000 Birch St., Oakland",4,420,KG-05
East Palo Alto Academy School,"1050 Myrtle St., East Palo Alto",29,309,09-12
East San Gabriel Valley Rop School,"1501 Del Norte Ave., West Covina",-,-1,09-12
East Stanislaus High School,"250 Hinkley Ave., Oakdale",23,88,09-12
East Union High School,"1700 N. Union Rd., Manteca",44,"1,579",09-12
East Valley Community School,"1812 W. Park Ave., Redlands",-,-1,-
East Valley Senior High School,"5525 Vineland Ave., Los Angeles",21,612,09-12
East Village High School,"1405 Park Blvd., San Diego",68,109,09-12
East Whittier Middle School,"14421 E. Whittier Blvd., Whittier",66,"1,259",06-08
Eastlake Elementary School,"1955 Hillside Dr., Chula Vista",84,577,KG-06
Eastbluff Elementary School,"2627 Vista del Oro, Newport Beach",94,404,KG-06
Easterbrook Discovery School,"4835 Doyle Rd., San Jose",90,"1,027",KG-08
Easterby Elementary School,"5211 E. Tulare St., Fresno",32,697,KG-06
Eastin Arcola School,"29551 Ave. 8, Madera",25,243,KG-08
Eastlake High School,"1120 E.lake Pkwy., Chula Vista",78,"3,113",09-12
Eastlake Middle School,"900 Duncan Ranch Rd., Chula Vista",83,"1,679",07-08
Eastman Avenue Elementary School,"4112 E. Olympic Blvd., Los Angeles",14,934,KG-05
Eastmont Intermediate School,"400 N. Bradshawe Ave., Montebello",17,884,06-08
Easton Community Day School,"5865 S. Clara Ave., Fresno",-,4,09-12
Easton Continuation High School,"5865 S. Clara Ave., Fresno",-,13,09-12
Eastshore Elementary School,"155 E.shore, Irvine",92,621,KG-06
Eastside Academy/Transitional Learning Center School,"44958 30th St. E., Lancaster",-,4,03-08
Eastside Elementary School,"6742 E. Ave. H, Lancaster",12,576,KG-06
Eastside High School,"3200 E. Ave. J-8, Lancaster",37,"2,347",09-12
Eastvale Elementary School,"13031 Orange St., Eastvale",79,"1,324",KG-06
Eastwood Elementary School,"15730 Pescados Dr., La Mirada",75,476,KG-05
Eastwood Elementary School,"13552 Univ, Westminster",87,530,KG-06
Eaton Elementary School,"1451 E. Sierra Ave., Fresno",42,410,KG-06
Echo Valley Elementary School,"147 Echo Valley Rd., Salinas",9,596,KG-06
Ed Donaldson Education Center School,"4500 Konocti Rd., Kelseyville",-,16,09-12
Eden Area Rop School,"26316 Hesperian Blvd., Hayward",-,-1,10-12
Eden Gardens Elementary School,"2184 Thayer Ave., Hayward",26,566,KG-06
Edendale Middle School,"16160 Ashland Ave., San Lorenzo",11,659,06-08
Edenvale Elementary School,"285 Azucar Ave., San Jose",15,510,KG-06
Edge Academy School,"12338 McCt.ney Rd., Grass Valley",-,3,-
Edgemont Elementary School,"21790 Eucalyptus Ave., Moreno Valley",11,711,KG-05
Edgewater Elementary School,"5715 Oakwood Dr., Marysville",47,468,KG-06
Edgewood Academy School,"14135 E. Fairgrove Ave., La Puente",46,613,KG-08
Edgewood High School,"1301 Trojan Way, West Covina",66,864,09-12
Edgewood Middle School,"1625 W. Durness, West Covina",40,568,06-08
Edison (Thomas) Elementary School,"1526 E. Romneya Dr., Anaheim",12,925,KG-06
Edison Charter Academy School,"3531 22nd St., San Francisco",33,693,KG-08
Edison Computech School,"555 E. Belgravia, Fresno",99,788,07-08
Edison Elementary School,"2700 Buena Vista Ave., Alameda",92,478,KG-05
Edison Elementary School,"625 Maine Ave., Long Beach",20,730,KG-05
Edison Elementary School,"515 E. Sixth St., Ontario",64,771,KG-08
Edison Elementary School,"4077 35th St., San Diego",50,549,KG-05
Edison Elementary School,"2402 Virginia Ave., Santa Monica",90,433,KG-05
Edison Elementary School,"3800 182Nd St, Torrance",74,494,KG-05
Edison High School,"540 E. California Ave., Fresno",63,"2,553",09-12
Edison High School,"21400 Magnolia, Huntington Beach",90,"2,528",09-12
Edison High School,"100 W Dr MLK Blv, Stockton",20,"1,995",09-12
Edison Middle School,"721 S. Edison Rd., Bakersfield",31,480,05-08
Edison-Bethune Charter Academy School,"1616 S. Fruit St., Fresno",39,553,KG-06
Edith B. Storey Elementary School,"5250 E. Church Ave., Fresno",31,978,KG-07
Edith Landels Elementary School,"115 W. Dana St., Mountain View",72,541,KG-05
Edna Batey Elementary School,"9421 Stonebrook Dr., Elk Grove",86,995,KG-06
Edna Beaman Elementary School,"25541 Highway 6, Benton",-,14,KG-05
Edna Brewer Middle School,"3748 13th Ave., Oakland",62,817,06-08
Edna Hill Middle School,"140 Birch St., Brentwood",67,937,06-08
Edna Maguire Elementary School,"80 Lomita Dr., Mill Valley",96,573,KG-05
Educational Options School,"515 E. Seventh St., Perris",-,-,07-12
Educational Partnership High School,"1794 Cedar Ave., Long Beach",11,929,09-12
Educational Training Center School,"1600 Washington St., Needles",-,10,09-12
Edward B. Cole Academy School,"333 E. Walnut St., Santa Ana",18,433,KG-05
Edward C. Merlo Institute Of Environmental Studies School,"1670 E. Sixth St., Stockton",20,210,09-12
Edward Fitzgerald Elementary School,"2568 W. Terra Vista Dr., Rialto",37,443,KG-05
Edward Harris Junior Middle School,"8691 Power Inn Rd., Elk Grove",56,"1,176",07-08
Edward J. Richardson Middle School,"23751 Nancy Lee Ln., Torrance",94,696,06-08
Edward Kemble Elementary School,"7495 29th St., Sacramento",30,548,KG-03
Edward M. Downer Elementary School,"1231 18th St., San Pablo",11,607,KG-06
Edward R. Roybal Learning Center School,"1200 W. Colton St., Los Angeles",29,"1,107",09-12
Edward Russell Elementary School,"600 S. Jackson St., Santa Ana",10,695,KG-06
Edwin Markham Elementary School,"101 Markham Ave., Vacaville",27,902,KG-06
Edwin Markham Middle School,"1650 E. 104th St., Los Angeles",8,830,06-08
Edwin Markham Middle School,"2800 Moulton Dr., Placerville",75,371,06-08
Edwin Rhodes Elementary School,"6655 Schaefer Ave., Chino",89,825,KG-06
Eel River Charter School,"76350 Main St., Covelo",6,69,KG-06
Eel River Community School,"2292 Newburg Rd., Fortuna",9,63,07-12
Eisenhower Senior High School,"1321 N. Lilac Ave., Rialto",43,"2,425",09-12
El Cajon Valley High School,"1035 E. Madison Ave., El Cajon",26,"1,772",09-12
El Camino Creek Elementary School,"7885 Paseo Aliso, Carlsbad",89,643,KG-06
El Camino Elementary School,"1525 W. Fifth St., Ontario",20,452,KG-06
El Camino Elementary School,"5020 San Simeon Dr., Santa Barbara",48,250,KG-06
El Camino Fundamental High School,"4300 El Camino Ave., Sacramento",59,"1,531",09-12
El Camino High School,"400 Rancho del Oro Dr., Oceanside",55,"3,053",09-12
El Camino High School,"5450 Snyder Ln., Rohnert Park",-,52,09-12
El Camino High School,"1320 Mission Rd., South San Francisco",67,"1,387",09-12
El Camino High School,"61 Day Rd., Ventura",78,290,09-12
El Camino High (Continuation) School,"14625 Keese Dr., Whittier",15,304,09-12
El Camino Junior High School,"219 W. El Camino, Santa Maria",16,729,07-08
El Camino Real Charter High School,"5440 Valley Cir. Blvd., Los Angeles",71,"3,855",09-12
El Camino Real Continuation High School,"1351 E. Orangethorpe Ave., Placentia",13,237,09-12
El Camino Real Elementary School,"911 El Camino Real Rd., Arvin",28,846,KG-06
El Capitan Elementary School,"10115 Fifth St., Delhi",19,317,KG-06
El Capitan High School,"10410 Ashwood St., Lakeside",54,"1,591",09-12
El Capitan High School,"100 W. Farmland, Merced",52,"1,557",09-12
El Capitan Middle School,"4443 W. Weldon Ave., Fresno",17,699,07-08
El Carmelo Elementary School,"3024 Bryant St., Palo Alto",94,395,KG-05
El Centro District Wide Pre School,"1256 BRd.way, El Centro",-,-,-
El Centro Elementary School,"1480 El Centro Ave., Napa",47,230,KG-05
El Centro Jr./Sr. High School,"9601 Keifer Blvd., Sacramento",5,163,05-12
El Cerrito Elementary School,"1051 N. Hillside St, La Habra",-,394,KG-02
El Cerrito High School,"540 Ashbury Ave., El Cerrito",47,"1,429",09-12
El Cerrito Middle School,"7610 El Cerrito Rd., Corona",77,"1,309",06-08
El Crystal Elementary School,"201 N. Balboa Way, San Bruno",62,228,KG-05
El Diamante High School,"5100 W. Whitendale Ave., Visalia",64,"1,958",09-12
El Dorado Avenue Elementary School,"12749 El Dorado Ave., Los Angeles",11,501,KG-05
El Dorado Elementary School,"361 E. Pondera, Lancaster",13,697,KG-05
El Dorado Elementary School,"70 Delta St., San Francisco",14,236,KG-05
El Dorado Elementary School,"1540 N. Lincoln St., Stockton",10,599,KG-08
El Dorado High School,"1651 N. Valencia Ave., Placentia",83,"1,910",09-12
El Dorado High School,"561 Canal St., Placerville",69,"1,176",09-12
El Dorado Middle School,"1750 W. St., Concord",20,983,06-08
El Gabilan Elementary School,"1256 Linwood Dr., Salinas",6,799,KG-06
El Granada Elementary School,"400 Santiago St., Half Moon Bay",37,459,KG-05
El Marino Elementary School,"11450 Port Rd., Culver City",94,827,KG-05
El Mirage School,"19250 St. Anthony Ave., Adelanto",10,139,KG-08
El Modena High School,"3920 Spring St., Orange",61,"2,086",09-12
El Molino High School,"7050 Covey Rd., Forestville",78,585,09-12
El Monte Elementary School,"1400 Dina Dr., Concord",42,478,KG-05
El Monte High School,"3048 N. Tyler Ave., El Monte",47,"1,830",09-12
El Monte Middle School,"42111 Rd. 128, Orosi",19,934,06-08
El Monte Union High Community Day School,"5050 Kings Row, El Monte",21,45,09-12
El Morro Elementary School,"8681 N. Coast Hwy., Laguna Beach",93,558,KG-05
El Nido Elementary School,"161 E. El Nido Rd., El Nido",30,153,KG-08
El Oro Way Charter For Enriched Studies School,"12230 El Oro Way, Los Angeles",86,502,KG-05
El Portal Elementary School,"200 N. Nada St., La Habra",67,510,KG-06
El Portal Middle School,"805 First St., Escalon",31,591,06-08
El Potrero Pre- School,"16820 Via Pamplona Dr., Moreno Valley",-,-,PK
El Puente School,"20 Sherwood Pl., Salinas",14,364,07-12
El Puente High School,"1691 Saipan Ave., Firebaugh",-,10,09-12
El Rancho Charter School,"181 S. Del Giorgio Rd., Anaheim",89,"1,152",07-08
El Rancho High School,"6501 S. Passons Blvd., Pico Rivera",53,"2,635",09-12
El Rincon Elementary School,"11177 Overland Ave., Culver City",62,536,KG-05
El Roble Elementary School,"930 Third St., Gilroy",31,643,KG-05
El Roble Intermediate School,"665 N. Mountain Ave., Claremont",83,"1,093",07-08
El Rodeo Elementary School,"605 N. Whittier Dr., Beverly Hills",92,684,KG-08
El Sausal Middle School,"1155 E. Alisal St., Salinas",19,987,07-08
El Segundo High School,"640 Main St., El Segundo",88,"1,255",09-12
El Segundo Middle School,"332 Center St., El Segundo",89,835,06-08
El Sereno Alternative Education School,"10700 Fair Oaks Blvd., Fair Oaks",33,185,09-12
El Sereno Elementary School,"3838 Rosemead Ave., Los Angeles",40,418,KG-06
El Sereno Middle School,"2839 N. E.ern Ave., Los Angeles",24,"1,242",06-08
El Sol Santa Ana Science And Arts Academy School,"1010 N. BRd.way St., Santa Ana",67,906,KG-08
El Tejon Elementary School,"4337 Lebec Rd., Lebec",27,218,05-08
El Toro Elementary School,"455 E. Main Ave., Morgan Hill",34,450,KG-05
El Toro High School,"25255 Toledo Way, Lake Forest",84,"2,518",09-12
El Toyon Elementary School,"2000 E. Division St., National City",23,506,KG-06
El Verano Elementary School,"18606 Riverside Dr., Sonoma",8,434,KG-05
El Vista Elementary School,"450 El Vista Ave., Modesto",11,386,KG-06
Elbow Creek Elementary School,"32747 Rd. 138, Visalia",37,505,KG-06
Elder Creek Elementary School,"7934 Lemon Hill Ave., Sacramento",25,792,KG-06
Elderberry Elementary School,"950 N. Elderberry Ave., Ontario",32,823,KG-06
Eldridge Elementary School,"26825 Eldridge Ave., Hayward",25,455,KG-06
Eleanor J. Toll Middle School,"700 Glenwood Rd., Glendale",65,"1,241",06-08
Eleanor Murray Fallon School,"3601 Kohnen Way, Dublin",98,"1,388",06-08
Eleanor Roosevelt Community Learning Center School,"31191 Rd. 180, Visalia",51,291,KG-12
Eleanor Roosevelt High School,"7447 Scholar Way, Eastvale",74,"4,079",09-12
Elevate Elementary School,"2285 Murray Ridge Rd., San Diego",96,214,KG-05
Elihu Beard Elementary School,"915 Bowen Ave., Modesto",10,378,KG-06
Elim Elementary School,"7677 N. Lander Ave., Hilmar",26,910,KG-05
Elinor Lincoln Hickey Jr./Sr. High School,"2040 Ethan Way, Sacramento",6,69,07-12
Eliot Elementary School,"475 Old Gilroy St., Gilroy",31,493,KG-05
Elise P. Buckingham Charter Magnet High School,"188-B Bella Vista Rd., Vacaville",80,454,09-12
Elite Academy School,"230 Jamacha Blvd., El Cajon",-,45,09-12
Elitha Donner Elementary School,"9461 Soaring Oaks Dr., Elk Grove",49,741,KG-06
Elizabeth Learning Center School,"4811 Elizabeth St., Cudahy",17,"1,783",KG-12
Elizabeth Pinkerton Middle School,"8365 Whitelock Pkwy., Elk Grove",86,"1,084",07-08
Elizabeth T. Hughbanks Elementary School,"2241 N. Apple Ave., Rialto",24,615,KG-05
Elizabeth Terronez Middle School,"2300 S. Willow, Fresno",10,686,06-08
Elizabeth Ustach Middle School,"2701 Kodiak Dr., Modesto",69,"1,035",06-08
Elk Creek School,"1115 Williams Dr., Crescent City",-,9,07-12
Elk Creek Elementary School,"3430 Co Rd. 309, Elk Creek",5,49,KG-05
Elk Creek Junior-Senior High School,"3430 Co Rd. 309, Elk Creek",10,42,07-12
Elk Grove Charter School,"10065 Atkins Dr., Elk Grove",27,246,07-12
Elk Grove Elementary School,"9373 Crowell Dr., Elk Grove",75,860,KG-06
Elk Grove High School,"9800 Elk Grove-Florin Rd., Elk Grove",73,"1,743",09-12
Elk Hills Elementary School,"501 Kern St., Tupman",20,196,KG-08
Elkhorn School,"10505 N. Davis Rd., Stockton",100,272,04-08
Elkhorn Elementary School,"2235 Elkhorn Rd., Castroville",19,667,KG-06
Elkhorn Village Elementary School,"750 Cummins Way, West Sacramento",16,635,KG-08
Elkins Elementary School,"2960 Elkins Rd., Paskenta",-,15,KG-08
Ella Barkley High School,"Hwy. 32 And Los Robles St., Hamilton City",-,9,10-12
Ella Elementary School,"4850 Olivehurst Ave., Olivehurst",27,550,KG-06
Ellen Feickert Elementary School,"9351 Feickert Dr., Elk Grove",60,627,KG-06
Ellen Ochoa Learning Center School,"5027 Live Oak St., Cudahy",16,"1,425",KG-08
Ellen Ochoa Prep Academy School,"8110 Paramount Blvd., Pico Rivera",-,-,09-12
Ellerhorst Elementary School,"3501 Pinole Valley Rd., Pinole",38,357,KG-06
Ellerth E. Larson Elementary School,"2375 Giannoni Way, Lodi",70,737,KG-06
Ellington (Duke) High (Continuation) School,"1541 W. 110th St., Los Angeles",33,105,09-12
Elliott (William F) Elementary School,"18415 Cortner Ave., Artesia",85,559,KG-06
Elliott Ranch Elementary School,"10000 E. Taron Dr., Elk Grove",88,926,KG-06
Ellis Elementary School,"550 E. Olive Ave., Sunnyvale",61,778,KG-05
Ellwood Elementary School,"7686 Hollister Ave., Goleta",66,441,KG-06
Elm High School,"5865 S. Clara Ave., Fresno",19,136,09-12
Elm Street Elementary School,"800 W. Elm St., Bishop",-,439,KG-02
Elm Street Elementary School,"450 E. Elm St., Oxnard",4,702,KG-05
Elmer Wood Elementary School,"1271 W. Bellevue Rd., Atwater",42,522,KG-06
Elmhurst Community Prep School,"1800 98th Ave., Oakland",8,371,06-08
Elmhurst Elementary School,"5080 Elmhurst St., Ventura",36,524,KG-05
Elmwood Elementary School,"840 S. Cardinal Ave., Stockton",10,826,KG-08
Elsa Widenmann Elementary School,"100 Whitney Dr., Vallejo",13,442,KG-05
Elsie Allen High School,"599 Bellevue Ave., Santa Rosa",31,"1,025",09-12
